state,total_votes
Delaware,504010
District of Columbia,333682
Florida,11067456
Georgia,5000987
Hawaii,574469
Idaho,868125
Illinois,5992492
Indiana,3035088
Iowa,1688310
Kansas,1334330
Kentucky,2135193
Louisiana,2148062
Maine,786952
Maryland,2972800
Massachusetts,3549597
Michigan,5547267
Minnesota,3268372
Mississippi,1315240
Missouri,3027991
Montana,605750
Nebraska,950346
Nevada,1405376
New Hampshire,804453
New Jersey,4492594
New Mexico,923750
New York,7040317
North Carolina,5524813
North Dakota,361819
Ohio,5922678
Oklahoma,1560699
Oregon,2370390
Pennsylvania,6913101
Rhode Island,513602
South Carolina,2513329
South Dakota,422609
Tennessee,3049514
Texas,11323963
Utah,1487696
Vermont,367428
Virginia,4456303
Washington,4049024
West Virginia,794204
Wisconsin,3297434
Wyoming,276765
Alabama,2309900
Alaska,356796
Arkansas,1217612
California,17219241
Colorado,3256062
Connecticut,1824529
United States,156148365
Arizona,3385845
