state,total_votes
Delaware,490935
Georgia,4949446
Idaho,858856
Illinois,5854109
Iowa,1670616
Kansas,1330054
Kentucky,2134725
Louisiana,2071543
Maine,762452
Massachusetts,3408750
Michigan,5477429
Minnesota,3216025
Mississippi,1309889
Montana,605637
Nebraska,895608
New Hampshire,795603
New Jersey,4358120
New Mexico,917000
North Carolina,5474961
Oklahoma,1556361
Oregon,2319445
Rhode Island,492178
South Carolina,2512810
South Dakota,420219
Tennessee,2941711
Texas,11148820
Virginia,4380160
West Virginia,778447
Wyoming,270866
Alabama,2303212
Alaska,353297
Arizona,3354722
Arkansas,1191838
Colorado,3234808
Georgia,4911403
